Ticker,Description,Currency,Sector,Industry Group,Industry,Sub_Industry
AAPL US Equity,Apple Inc,USD,Technology,Hardware,Communications Equipment,Mobile Phones
GOOGL US Equity,Alphabet Inc,USD,Communications,Media,Internet Media,Internet Advertising Portals
MSFT US Equity,Microsoft Corp,USD,Technology,Software,Infrastructure Software,#N/A N/A
BRK/A US Equity,Berkshire Hathaway Inc,USD,Financials,Insurance,P&C Insurance,#N/A N/A
XOM US Equity,Exxon Mobil Corp,USD,Energy,"Oil, Gas & Coal",Integrated Oils,#N/A N/A
WFC US Equity,Wells Fargo & Co,USD,Financials,Banking,Diversified Banks,#N/A N/A
FB US Equity,Facebook Inc,USD,Communications,Media,Internet Media,Online Communities
JNJ US Equity,Johnson & Johnson,USD,Health Care,Biotech & Pharma,Large Pharma,#N/A N/A
NOVN VX Equity,Novartis AG,CHF,Health Care,Biotech & Pharma,Large Pharma,#N/A N/A
GE US Equity,General Electric Co,USD,Industrials,Electrical Equipment,Electrical Power Equipment,#N/A N/A
601398 CH Equity,Industrial & Commercial Bank o,CNY,Financials,Banking,Banks,#N/A N/A
AMZN US Equity,Amazon.com Inc,USD,Consumer Discretionary,Retail - Discretionary,E-Commerce Discretionary,Electronic Shopping
941 HK Equity,China Mobile Ltd,HKD,Communications,Telecom,Telecom Carriers,Wireless Telecom Services
NESN VX Equity,Nestle SA,CHF,Consumer Staples,Consumer Products,Packaged Food,#N/A N/A
857 HK Equity,PetroChina Co Ltd,HKD,Energy,"Oil, Gas & Coal",Integrated Oils,#N/A N/A
ROG VX Equity,Roche Holding AG,CHF,Health Care,Biotech & Pharma,Large Pharma,#N/A N/A
JPM US Equity,JPMorgan Chase & Co,USD,Financials,Banking,Diversified Banks,#N/A N/A
WMT US Equity,Wal-Mart Stores Inc,USD,Consumer Staples,Retail - Consumer Staples,Mass Merchants,SuperCenters
PFE US Equity,Pfizer Inc,USD,Health Care,Biotech & Pharma,Large Pharma,#N/A N/A
T US Equity,AT&T Inc,USD,Communications,Telecom,Telecom Carriers,Wireless Telecom Services
7203 JP Equity,Toyota Motor Corp,JPY,Consumer Discretionary,Automotive,Automobiles,#N/A N/A
VZ US Equity,Verizon Communications Inc,USD,Communications,Telecom,Telecom Carriers,Wireless Telecom Services
PG US Equity,Procter & Gamble Co/The,USD,Consumer Staples,Consumer Products,Household Products,Personal Care Products
939 HK Equity,China Construction Bank Corp,HKD,Financials,Banking,Banks,#N/A N/A
DIS US Equity,Walt Disney Co/The,USD,Communications,Media,Entertainment Content,TV Media Networks
ABI BB Equity,Anheuser-Busch InBev SA/NV,EUR,Consumer Staples,Consumer Products,Beverages,Alcoholic Beverages
V US Equity,Visa Inc,USD,Financials,Specialty Finance,Consumer Finance,Credit & Debit
3988 HK Equity,Bank of China Ltd,HKD,Financials,Banking,Banks,Corporate Banking
BAC US Equity,Bank of America Corp,USD,Financials,Banking,Diversified Banks,#N/A N/A
KO US Equity,Coca-Cola Co/The,USD,Consumer Staples,Consumer Products,Beverages,Non-Alcoholic Beverages
ORCL US Equity,Oracle Corp,USD,Technology,Software,Infrastructure Software,#N/A N/A
GILD US Equity,Gilead Sciences Inc,USD,Health Care,Biotech & Pharma,Biotech,Mature Biotechnology
SPY US Equity,SPDR S&P500 ETF Trust,USD,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
